1;a;3500000;
2;b;3221750;
3;c;10631775;
4;d;11276125;
5;e;11920475;
6;f;12564825;
7;g;13531350;
8;h;20000000;
9;i;16106875;
10;j;1288700;
11;k;1288699;
12;l;1288701;
13;m;2577400;
14;n;2577399;
15;o;2577401;
16;p;10309600;
17;q;10309599;
18;r;10309601;
19;s;10953950;
20;t;10953949;
21;u;10953951;
22;v;11598300;
23;w;11598301;
24;x;11598299;
25;y;12242650;
26;z;12242651;
27;aa;12242649;
28;ab;12887000;
29;ac;12887001;
30;ad;12886999;
31;ae;3936271;
32;af;3936272;
33;ag;3936271.062;
34;ah;5000000;
35;ai;6215164.835;
36;aj;7000000;
37;ak;15082134;
38;al;20000000;
39;am;644350;
