1;a;3500000;5.43;140000.00;157500.00;140000.00;280000.00;35000.00;3185000.00;2388750.08;84.47;0.00;0.00;0.00;3185000.00;
2;b;3221750;5.00;128870.00;144978.75;128870.00;257740.00;32217.50;2931792.64;2198844.48;77.76;0.00;0.00;0.00;2931792.64;
3;c;10631775;16.50;425271.00;478429.92;425271.00;850542.00;127581.30;9653651.84;7240238.72;256.03;28.00;1122338.88;0.00;8531313.28;
4;d;11276125;17.50;451045.00;507425.64;451045.00;902090.00;157865.75;10216168.96;7662126.72;270.95;28.00;1240467.60;0.00;8975701.12;
5;e;11920475;18.50;476819.00;536421.36;476819.00;953638.00;190727.60;10776108.80;8082081.92;285.80;28.00;1358054.88;0.00;9418053.76;
6;f;12564825;19.50;502593.00;565417.12;502593.00;1005186.00;226166.84;11333472.00;8500103.68;300.58;28.00;1475101.12;0.00;9858371.20;
7;g;13531350;21.00;541254.00;608910.76;541254.00;1082508.00;270627.00;12178214.40;9133660.80;322.98;28.00;1652497.12;0.00;10525717.76;
8;h;20000000;31.04;800000.00;900000.08;800000.00;1600000.00;400000.00;18000000.00;13500000.00;477.39;33.00;3046705.60;0.00;14953294.08;
9;i;16106875;25.00;644275.00;724809.36;644275.00;1288550.00;322137.50;14496188.16;10872140.80;384.46;33.00;2179512.32;0.00;12316675.84;
10;j;1288700;2.00;51548.00;57991.51;51548.00;103096.00;0.00;1185604.00;889203.04;31.44;0.00;0.00;74000.00;1259604.00;
11;k;1288699;2.00;51547.96;57991.46;51547.96;103095.91;0.00;1185603.12;889202.40;31.44;0.00;0.00;74000.00;1259603.12;
12;l;1288701;2.00;51548.04;57991.55;51548.04;103096.08;0.00;1185604.88;889203.60;31.44;0.00;0.00;0.00;1185604.88;
13;m;2577400;4.00;103096.00;115983.01;103096.00;206192.00;25774.00;2345433.92;1759075.52;62.20;0.00;0.00;0.00;2345433.92;
14;n;2577399;4.00;103095.96;115982.96;103095.96;206191.92;0.00;2371207.04;1778405.28;62.89;0.00;0.00;0.00;2371207.04;
15;o;2577401;4.00;103096.04;115983.05;103096.04;206192.08;25774.01;2345435.04;1759076.32;62.20;0.00;0.00;0.00;2345435.04;
16;p;10309600;16.00;412384.00;463932.04;412384.00;824768.00;123715.20;9361116.80;7020837.76;248.27;28.00;1060906.64;0.00;8300210.56;
17;q;10309599;16.00;412383.92;463931.96;412383.92;824767.84;103095.98;9381735.04;7036300.80;248.82;28.00;1065236.40;0.00;8316498.56;
18;r;10309601;16.00;412384.04;463932.08;412384.04;824768.08;123715.21;9361118.08;7020838.40;248.27;28.00;1060906.88;0.00;8300211.20;
19;s;10953950;17.00;438158.00;492927.80;438158.00;876316.00;153355.31;9924279.04;7443208.96;263.21;28.00;1179170.64;0.00;8745107.84;
20;t;10953949;17.00;438157.92;492927.72;438157.92;876315.84;131447.39;9946186.24;7459639.68;263.79;28.00;1183771.04;0.00;8762414.72;
21;u;10953951;17.00;438158.04;492927.80;438158.04;876316.08;153355.31;9924280.32;7443210.24;263.21;28.00;1179170.88;0.00;8745109.12;
22;v;11598300;18.00;463932.00;521923.52;463932.00;927864.00;185572.82;10484862.72;7863646.72;278.07;28.00;1296893.12;0.00;9187969.92;
23;w;11598301;18.00;463932.04;521923.56;463932.04;927864.08;185572.82;10484864.00;7863648.00;278.07;28.00;1296893.36;0.00;9187971.20;
24;x;11598299;18.00;463931.92;521923.48;463931.92;927863.84;162376.19;10508058.88;7881043.84;278.69;28.00;1301764.40;0.00;9206295.04;
25;y;12242650;19.00;489706.00;550919.24;489706.00;979412.00;220367.68;11042869.76;8282152.32;292.87;28.00;1414074.72;0.00;9628794.88;
26;z;12242651;19.00;489706.04;550919.32;489706.04;979412.08;220367.70;11042871.04;8282152.96;292.87;28.00;1414074.72;0.00;9628796.16;
27;aa;12242649;19.00;489705.92;550919.24;489705.92;979411.84;195882.40;11067354.88;8300515.84;293.52;28.00;1419216.32;0.00;9648138.88;
28;ab;12887000;20.00;515480.00;579915.00;515480.00;1030960.00;257740.00;11598300.16;8698725.12;307.60;28.00;1530715.04;0.00;10067585.28;
29;ac;12887001;20.00;515480.04;579915.08;515480.04;1030960.08;257740.02;11598301.44;8698725.76;307.60;28.00;1530715.20;0.00;10067585.92;
30;ad;12886999;20.00;515479.92;579915.00;515479.92;1030959.84;231965.96;11624072.96;8718055.04;308.29;28.00;1536127.20;0.00;10087946.24;
31;ae;3936271;6.11;157450.84;177132.20;157450.84;314901.68;39362.71;3582006.40;2686504.96;95.00;19.00;0.00;0.00;3582006.40;
32;af;3936272;6.11;157450.88;177132.24;157450.88;314901.76;39362.72;3582007.36;2686505.60;95.00;19.00;0.08;0.00;3582007.36;
33;ag;3936271.062;6.11;157450.84;177132.20;157450.84;314901.68;39362.71;3582006.40;2686504.96;95.00;19.00;0.00;0.00;3582006.40;
34;ah;5000000;7.76;200000.00;225000.02;200000.00;400000.00;50000.00;4550000.00;3412499.84;120.67;19.00;137939.05;0.00;4412061.12;
35;ai;6215164.835;9.65;248606.54;279682.40;248606.54;497213.08;62151.64;5655799.68;4241849.60;150.00;19.00;295515.46;0.00;5360284.16;
36;aj;7000000;10.86;280000.00;315000.00;280000.00;560000.00;70000.00;6370000.00;4777500.16;168.94;28.00;432772.04;0.00;5937228.16;
37;ak;15082134;23.41;603285.36;678696.08;603285.36;1206570.72;301642.68;13573921.28;10180440.96;360.00;33.00;1951251.20;0.00;11622670.08;
38;al;20000000;31.04;800000.00;900000.08;800000.00;1600000.00;400000.00;18000000.00;13500000.00;477.39;33.00;3046705.60;0.00;14953294.08;
39;am;644350;1.00;25774.00;28995.75;25774.00;51548.00;0.00;592802.00;444601.52;15.72;0.00;0.00;74000.00;666802.00;
